frequency,userid,tag
2,4092,sql
1,4092,windows-vista
1,4092,sql-server-2005
1,4092,database
1,19851,html
166,50742,objective-c
29,50742,osx
11,50742,html
9,50742,c
8,50742,javascript
8,50742,c++
8,50742,python
8,50742,css
8,50742,php
6,50742,java
5,129655,javascript
4,129655,php
4,129655,java
3,129655,c
2,129655,.net
2,129655,jquery
2,129655,c++
2,129655,linux
2,129655,html
2,129655,c#
2,257786,jquery
2,257786,php
1,257786,asp.net-mvc
1,257786,c#
1,257786,windows
1,257786,jquery-plugins
1,257786,database-design
1,257786,database
11,3205,.net
8,3205,c#
5,3205,linux
2,3205,mysql
2,3205,silverlight
1,3205,sql
1,3205,sql-server
1,3205,sqlite
1,3205,optimization
1,3205,java
25,5618,.net
21,5618,c#
17,5618,asp.net
15,5618,silverlight
12,5618,nhibernate
7,5618,c++
6,5618,vb.net
4,5618,windows
4,5618,database
4,5618,linq-to-sql
65,68204,c
33,68204,c++
12,68204,c#
8,68204,windows
7,68204,linux
5,68204,.net
4,68204,python
4,68204,visual-c++
3,68204,assembly
2,68204,asp.net
15,85514,php
7,85514,zend-framework
3,85514,java
2,85514,c++
2,85514,mysql
1,85514,html
1,85514,database
1,85514,c#
1,85514,python
1,85514,algorithm
7,43151,python
1,43151,mysql
32,4321,php
13,4321,javascript
6,4321,html
3,4321,java
2,4321,linux
2,4321,eclipse
1,4321,mysql
1,4321,error-handling
1,4321,frameworks
1,4321,jsp
2,21905,jquery
1,21905,optimization
1,21905,html
1,21905,javascript
1,21905,php
1,21905,css
33,270,css
28,270,javascript
27,270,html
11,270,jquery
11,270,java-me
9,270,asp.net
8,270,asp.net-mvc
7,270,java
6,270,c#
4,270,.net
1,35344,database
1,35344,html
1,35344,php
1,35344,css
1,35344,mysql
39,28875,python
16,28875,c++
9,28875,multithreading
8,28875,c#
6,28875,opengl
4,28875,database
4,28875,algorithm
4,28875,optimization
3,28875,data-structures
3,28875,java
19,1820,java
13,1820,php
7,1820,c#
3,1820,logging
3,1820,hibernate
3,1820,asp.net
2,1820,c++
2,1820,sql
2,1820,spring
2,1820,.net
6,24433,jquery
4,24433,javascript
1,24433,ajax
70,47161,c#
43,47161,sql
31,47161,sql-server
29,47161,.net
21,47161,javascript
13,47161,mysql
13,47161,tsql
9,47161,sql-server-2005
8,47161,algorithm
8,47161,c++
216,1831,jquery
138,1831,javascript
74,1831,asp.net
56,1831,sql
52,1831,c#
37,1831,sql-server
25,1831,css
24,1831,ajax
22,1831,html
14,1831,.net
21,75956,python
3,75956,google-app-engine
2,75956,database
2,75956,php
1,75956,graphics
1,75956,algorithm
1,75956,c#
1,75956,linux
1,75956,api
1,75956,.net
24,85170,java
12,85170,c++
10,85170,c#
9,85170,javascript
6,85170,c
6,85170,.net
4,85170,algorithm
3,85170,data-structures
2,85170,mysql
2,85170,graphics
29,34855,php
23,34855,python
15,34855,c++
13,34855,javascript
5,34855,java
5,34855,jquery
4,34855,zend-framework
3,34855,mysql
3,34855,c#
3,34855,css
1,1369,c#
15,108578,javascript
15,108578,c#
6,108578,html
6,108578,css
6,108578,.net
5,108578,java
5,108578,jquery
3,108578,asp.net
2,108578,database-design
2,108578,vb.net
111,57757,python
17,57757,algorithm
13,57757,c++
13,57757,c
11,57757,c#
9,57757,php
5,57757,multithreading
4,57757,windows
4,57757,python-3.x
3,57757,javascript
2,187986,java
28,44540,c#
17,44540,.net
6,44540,database
6,44540,sql-server
5,44540,asp.net
4,44540,php
4,44540,vb.net
3,44540,windows-installer
2,44540,optimization
2,44540,mysql
7,178385,php
7,178385,mysql
3,178385,sql
2,178385,javascript
2,178385,database-design
2,178385,sql-server
1,178385,data-structures
1,178385,html
1,178385,query-optimization
1,178385,tsql
25,20,javascript
7,20,html
7,20,css
4,20,jquery
2,20,asp.net
2,20,ajax
1,20,java
1,20,php
1,20,webforms
1,20,asp.net-mvc
6,449902,asp.net
3,449902,windows
3,449902,c#
2,449902,sql
1,449902,sql-server-2005
1,449902,php
1,449902,database
1,449902,drupal
1,449902,html
1,449902,sql-server
5,6236,c++
1,6236,c#
1,6236,osx
1,6236,eclipse
1,6236,python
1,6236,.net
1,6236,graphics
13,107744,sql
4,107744,sql-server
3,107744,database
3,107744,tsql
3,107744,mysql
2,107744,java
2,107744,sql-server-2005
2,107744,database-design
1,107744,plsql
1,107744,php
3,36429,sql-server
2,36429,c#
4,5168,javascript
2,5168,html
2,5168,php
1,5168,ajax
1,5168,.net
1,5168,osx
1,5168,css
1,5168,project-management
31,82,c#
14,82,.net
5,82,c
4,82,windows
4,82,c++
2,82,java
2,82,osx
1,82,multithreading
1,82,data-structures
1,82,tsql
4,38522,asp.net
2,38522,c#
2,38522,.net
1,38522,html
1,38522,database
1,38522,api
1,38522,sql
1,38522,data-modeling
1,38522,database-design
7,1577190,jquery
7,1577190,html
6,1577190,python
6,1577190,javascript
3,1577190,css
1,1577190,sql-server-2005
1,1577190,sqlite
1,1577190,webforms
1,1577190,php
1,1577190,c++
118,26620,java
9,26620,multithreading
8,26620,javascript
7,26620,eclipse
4,26620,html
4,26620,jar
4,26620,c++
3,26620,windows
3,26620,jsp
3,26620,c
2,26,deployment
2,26,java
2,26,php
2,26,sql-server
2,26,sql-server-2005
6,9587,c#
3,9587,.net
1,9587,documentation
3,117104,ajax
2,117104,javascript
2,117104,html
1,117104,jquery
1,117104,css
4,184773,c#
3,184773,asp.net
1,184773,css
1,184773,.net
1,184773,ajax
1,184773,sql
1,184773,jquery
25,158014,php
7,158014,html
6,158014,mysql
5,158014,css
5,158014,wordpress
3,158014,javascript
2,158014,ajax
2,158014,frameworks
1,158014,tomcat
1,158014,asp.net
1,231216,asp.net-mvc
1,231216,javascript-events
1,231216,javascript
22,202085,java
3,202085,javascript
3,202085,eclipse
3,202085,html
2,202085,java-ee
2,202085,ajax
2,202085,tomcat
2,202085,spring
2,202085,css
1,202085,jar
21,65060,c#
10,65060,.net
5,65060,data-binding
4,65060,vb.net
4,65060,xaml
4,65060,asp.net
2,65060,silverlight
1,65060,css
1,65060,sql
1,65060,windows
2,143725,windows
2,143725,sql
2,143725,javascript
1,143725,python
1,143725,ajax
1,143725,c#
1,143725,mysql
1,143725,model-view-controller
1,143725,deployment
2,214668,java
1,214668,c
1,214668,windows-services
2,30447,html
2,30447,windows
1,30447,open-source
1,30447,filesystems
1,30447,sql
1,30447,vb.net
1,30447,database
1,30447,ajax
1,30447,c++
1,30447,asp.net
3,209407,vb.net
2,209407,.net
5,41489,objective-c
1,41489,windows
1,41489,python
1,41489,functional-programming
1,41489,java
1,41489,.net
1,41489,osx
1,99692,c#
1,99692,osx
1,99692,html
1,99692,javascript
1,99692,java
1,99692,jquery
50,7890,vb6
19,7890,c#
18,7890,.net
8,7890,vb.net
7,7890,model-view-controller
5,7890,java
2,7890,c++
2,7890,asp.net
1,7890,windows
1,7890,windows-installer
1,110213,css
1,110213,c++
1,110213,java
1,110213,frameworks
1,110213,cross-browser
1,110213,recursion
1,110213,algorithm
435,93623,c#
178,93623,.net
75,93623,asp.net
67,93623,vb.net
25,93623,multithreading
11,93623,sql-server
9,93623,windows
8,93623,graphics
6,93623,sql
5,93623,exception-handling
25,19629,sql
19,19629,java
17,19629,plsql
14,19629,database
9,19629,database-design
3,19629,mysql
2,19629,sql-server-2005
2,19629,php
2,19629,sql-server
2,19629,.net
1,135724,data-structures
1,135724,c
1,135724,algorithm
1,135724,c#
1,135724,java
1,135724,linux
1,135724,.net
1,135724,php
1,135724,javascript
1,4682,osx
1,4682,operating-system
1,4682,c#
1,4682,algorithm
1,4682,windows
1,4682,cross-platform
1,4682,java
8,16143,linux
8,16143,osx
8,16143,python
5,16143,php
5,16143,html
4,16143,c
3,16143,sql
3,16143,algorithm
3,16143,c++
3,16143,frameworks
91,32465,c#
26,32465,.net
6,32465,asp.net
4,32465,vb.net
3,32465,windows
3,32465,algorithm
2,32465,data-structures
2,32465,multithreading
1,32465,mysql
1,32465,deployment
2,84278,open-source
2,84278,java
2,84278,c#
2,84278,python
1,84278,windows
1,84278,jvm
1,84278,asp.net-mvc
1,84278,javafx
1,84278,jquery
1,84278,database-design
11,119895,java
10,119895,python
6,119895,c
5,119895,mysql
4,119895,sqlite
4,119895,sql
2,119895,database
2,119895,zend-framework
2,119895,php
2,119895,multithreading
1,21384,algorithm
1,133514,c++
5,52256,html
2,52256,javascript
2,52256,c++
1,52256,javascript-events
1,52256,c
1,52256,windows
8,57508,c#
5,57508,asp.net
4,57508,.net
2,57508,javascript
2,57508,css
2,57508,html
1,57508,php
1,57508,sql-server
1,57508,jquery
3,100190,php
1,100190,mysql
1,100190,java
1,100190,python
54,144491,jquery
26,144491,javascript
9,144491,css
9,144491,html
7,144491,ajax
6,144491,asp.net
5,144491,php
4,144491,sql-server-2005
3,144491,javascript-events
3,144491,c#
4,12195,python
4,12195,html
3,12195,c#
3,12195,php
2,12195,sql
2,12195,frameworks
2,12195,java
2,12195,documentation
1,12195,css
1,12195,database
21,38686,c#
6,38686,vb.net
6,38686,.net
3,38686,asp.net
2,38686,database
2,38686,windows
2,38686,sql-server
2,38686,asp.net-mvc
1,38686,database-design
1,38686,subquery
1,1600,objective-c
61,47773,c#
55,47773,java
42,47773,javascript
41,47773,.net
30,47773,php
22,47773,c
22,47773,python
22,47773,c++
14,47773,database
11,47773,html
5,101762,java
2,101762,eclipse
1,101762,tomcat
1,101762,jar
1,101762,java-ee
1,101762,windows-services
575,138475,php
93,138475,mysql
37,138475,javascript
34,138475,zend-framework
34,138475,html
31,138475,sql
16,138475,database
16,138475,jquery
16,138475,ajax
11,138475,eclipse
6,169484,java
2,169484,data-structures
2,169484,functional-programming
2,169484,sql
2,169484,c++
1,169484,google-app-engine
1,169484,recursion
1,169484,sqlite
1,169484,visual-c++
1,169484,jsp
110,73070,c#
63,73070,windows
47,73070,.net
43,73070,java
29,73070,php
23,73070,css
16,73070,html
12,73070,c++
12,73070,c
12,73070,vb.net
37,2119053,javascript
27,2119053,jquery
16,2119053,php
14,2119053,html
9,2119053,ajax
8,2119053,java
8,2119053,css
8,2119053,c++
4,2119053,database
3,2119053,linux
73,13663,java
15,13663,database
12,13663,jsp
9,13663,java-ee
9,13663,.net
8,13663,sql
8,13663,c#
7,13663,c
7,13663,mysql
7,13663,sql-server
8,144997,c#
8,144997,jquery
4,144997,.net
2,144997,javascript
1,144997,algorithm
1,144997,ajax
1,144997,jquery-selectors
1,144997,html
1,144997,css
1,144997,vb.net
12,39371,java
4,39371,java-ee
4,39371,php
2,39371,database
1,39371,junit
1,39371,google-app-engine
1,39371,c#
1,39371,javac
1,39371,tomcat
1,39371,sql
3,111331,java
1,111331,java-ee
1,111331,eclipse
1,111331,jar
11,16089,c#
10,16089,.net
4,16089,asp.net
3,16089,linux
2,16089,windows
2,16089,osx
1,16089,sql-server
1,16089,asp.net-mvc
1,16089,sql
1,166938,html
1,166938,javascript
1,166938,css
22,4228,vb6
3,4228,windows
2,4228,c#
2,4228,.net
1,4228,vb.net
1,4228,deployment
7,87973,c++
7,87973,java
4,87973,python
3,87973,linux
2,87973,opengl
2,87973,windows
1,87973,visual-c++
1,87973,c#
1,87973,frameworks
1,87973,php
40,63485,c++
8,63485,python
4,63485,multithreading
4,63485,c
1,63485,php
1,63485,sql
1,63485,javascript
1,63485,cross-platform
1,63485,ajax
1,63485,jquery
35,20553,c#
26,20553,.net
18,20553,asp.net
10,20553,sql-server
6,20553,sql
3,20553,database
2,20553,windows
2,20553,java
2,20553,cross-browser
2,20553,sql-server-2005
18,231316,vb.net
13,231316,c#
9,231316,.net
5,231316,asp.net
1,231316,logging
1,231316,recursion
1,231316,css
1,231316,sql
1,231316,asp.net-mvc
1,231316,sql-server
85,139396,asp.net
71,139396,c#
55,139396,javascript
48,139396,jquery
32,139396,css
31,139396,html
24,139396,.net
15,139396,php
14,139396,vb.net
13,139396,sql-server
4,9842,c#
3,9842,windows
3,9842,sql
3,9842,mysql
3,9842,php
3,9842,api
3,9842,optimization
3,9842,windows-vista
3,9842,sql-server
2,9842,tsql
1,18167,c
1,18167,c++
52,20938,java
32,20938,c#
26,20938,.net
19,20938,php
11,20938,javascript
8,20938,html
6,20938,python
4,20938,c
3,20938,sql
3,20938,c++
2,127198,php
1,127198,jquery
1,243031,php
2,73109,objective-c
1,73109,sqlite
3,149341,osx
2,149341,c++
1,149341,jquery
1,149341,java
1,149341,linux
1,149341,python
1,149341,sql
1,149341,assembly
1,149341,c
1,149341,php
33,100835,c#
23,100835,javascript
18,100835,php
12,100835,html
10,100835,.net
10,100835,jquery
5,100835,css
4,100835,windows
4,100835,ajax
4,100835,vb.net
3,164075,java
2,164075,functional-programming
1,164075,eclipse
1,164075,javafx
1,164075,multithreading
1,158701,ajax
1,158701,java
44,103900,objective-c
8,103900,osx
3,103900,c++
3,103900,c
2,103900,windows
1,103900,sqlite
1,103900,linux
1,103900,logging
1,103900,multithreading
12,8236,asp.net
7,8236,c#
7,8236,html
5,8236,.net
5,8236,javascript
5,8236,sql
4,8236,css
4,8236,mysql
3,8236,php
3,8236,vb.net
3,160671,deployment
2,160671,.net
2,160671,vb.net
11,98048,javascript
4,98048,objective-c
2,98048,html
1,98048,php
1,98048,error-handling
1,98048,osx
1,98048,jquery
4,154219,c#
2,154219,asp.net
2,154219,php
2,154219,sql
2,154219,jquery
2,154219,javascript
1,154219,vb.net
1,154219,css
1,154219,open-source
1,154219,mysql
98,127549,drupal
26,127549,jquery
22,127549,php
16,127549,javascript
15,127549,python
8,127549,django-models
7,127549,ajax
6,127549,html
5,127549,mysql
4,127549,sql
14,52589,c#
4,52589,c++
4,52589,.net
3,52589,vb.net
2,52589,asp.net
2,52589,visual-c++
2,52589,c
1,52589,windows
1,52589,javascript
1,52589,optimization
5,113643,java
4,113643,python
1,113643,hibernate
1,113643,windows
1,113643,c#
1,113643,documentation
1,113643,junit
1,113643,spring
1,113643,asp.net
1,113643,multithreading
21,67468,c#
17,67468,asp.net
12,67468,sql-server
9,67468,sql
7,67468,.net
6,67468,asp.net-mvc
3,67468,c
3,67468,linq-to-sql
3,67468,mysql
2,67468,database-design
21,36702,c#
15,36702,.net
2,36702,vb.net
1,36702,logging
1,36702,data-binding
1,36702,asp.net-mvc
1,36702,windows
24,107591,c#
11,107591,.net
10,107591,asp.net
2,107591,html
2,107591,mysql
1,107591,database
1,107591,sql-server-2005
1,107591,windows
1,107591,javascript
1,107591,windows-services
8,82294,python
5,82294,c++
4,82294,c
3,82294,objective-c
2,82294,java
2,82294,sql
1,82294,php
1,82294,cross-platform
1,82294,visual-c++
1,82294,linux
12,17875,python
6,17875,javascript
5,17875,php
4,17875,html
3,17875,css
3,17875,jquery
3,17875,database
2,17875,mysql
2,17875,open-source
1,17875,sql-server
26,17279,objective-c
6,17279,html
5,17279,c
4,17279,osx
4,17279,css
3,17279,frameworks
3,17279,c++
2,17279,model-view-controller
2,17279,opengl
2,17279,python
18,14256,objective-c
2,14256,c++
2,14256,javascript
1,14256,osx
1,14256,html
1,14256,vb.net
1,14256,.net
1,14256,c#
117,145346,jquery
47,145346,javascript
38,145346,css
29,145346,html
8,145346,ajax
7,145346,php
6,145346,jquery-ui
5,145346,jquery-plugins
4,145346,asp.net
3,145346,cross-browser
23,6198,java
6,6198,hibernate
4,6198,mysql
4,6198,jboss
3,6198,.net
3,6198,osx
3,6198,c#
2,6198,sql
2,6198,tomcat
1,6198,multithreading
4,17,sql-server
4,17,.net
4,17,c#
2,17,asp.net
2,17,sql
2,17,mysql
2,17,windows
2,17,sql-server-2005
12,65732,php
6,65732,javascript
4,65732,jquery
4,65732,html
4,65732,css
3,65732,wordpress
1,65732,api
1,65732,c#
1,65732,frameworks
1,65732,algorithm
1,144695,jquery
36,33987,c++
5,33987,c#
3,33987,windows
3,33987,project-management
2,33987,.net
2,33987,c
2,33987,visual-c++
2,33987,software-engineering
1,33987,cross-platform
1,33987,python
39,153285,c++
4,153285,c
3,153285,visual-c++
2,153285,optimization
2,153285,assembly
1,153285,data-structures
1,153285,python
1,153285,exception-handling
1,153285,algorithm
1,153285,c#
6,41021,vb.net
6,41021,c#
3,41021,java
2,41021,java-me
2,41021,api
1,41021,multithreading
1,41021,c
1,41021,graphics
1,41021,c++
1,41021,documentation
2,8376,sql
2,8376,php
1,8376,mysql
1,8376,ajax
1,8376,database
1,8376,c#
1,8376,nosql
1,122718,nhibernate
1,122718,.net
6,99635,c#
5,99635,c++
3,99635,.net
2,99635,c
1,99635,javascript
1,99635,functional-programming
1,99635,optimization
1,99635,html
1,205580,python
21,1954,c#
9,1954,.net
2,1954,sql-server
2,1954,sql
2,1954,tsql
1,1954,exception-handling
1,1954,c++
1,1954,logging
1,1954,operating-system
1,1954,filesystems
78,10387,c#
46,10387,.net
8,10387,c++
7,10387,asp.net
6,10387,windows
6,10387,vb.net
4,10387,database
2,10387,java
2,10387,xpath
2,10387,xaml
20,6013,java
4,6013,mysql
3,6013,database
2,6013,python
2,6013,jboss
2,6013,eclipse
2,6013,java-ee
2,6013,c#
1,6013,optimization
1,6013,sql-server
56,60950,mysql
47,60950,php
44,60950,python
41,60950,sql
17,60950,c++
10,60950,javascript
7,60950,html
7,60950,c
7,60950,database
6,60950,database-design
15,33,c#
13,33,.net
5,33,xaml
5,33,silverlight
4,33,vb.net
2,33,database
2,33,vb6
2,33,graphics
2,33,open-source
2,33,javascript
188,36565,c++
18,36565,c
10,36565,java
9,36565,c#
5,36565,multithreading
4,36565,optimization
4,36565,visual-c++
4,36565,linux
3,36565,data-structures
2,36565,recursion
113,3560,python
32,3560,javascript
31,3560,c++
30,3560,c
17,3560,html
14,3560,php
13,3560,java
11,3560,jquery
11,3560,mysql
10,3560,linux
5,109,c#
3,109,asp.net
2,109,sql
2,109,database
2,109,javascript
1,109,html
12,20122,c#
12,20122,silverlight
5,20122,c
5,20122,sql
4,20122,c++
4,20122,.net
4,20122,silverlight-2.0
3,20122,opengl
2,20122,xaml
2,20122,algorithm
18,6443,objective-c
6,6443,osx
1,6443,python
1,6443,optimization
1,6443,c
43,149053,asp.net
28,149053,c#
21,149053,.net
13,149053,asp.net-mvc
13,149053,sql
11,149053,sql-server
11,149053,vb.net
5,149053,tsql
4,149053,vb6
4,149053,mysql
72,10293,python
13,10293,algorithm
8,10293,c#
5,10293,.net
4,10293,c++
3,10293,django-models
3,10293,c
3,10293,php
2,10293,java
2,10293,data-structures
12,77546,c#
11,77546,javascript
9,77546,jquery
7,77546,asp.net
5,77546,.net
4,77546,sql
3,77546,ajax
3,77546,sql-server
3,77546,vb.net
2,77546,linux
12,177800,java
4,177800,python
3,177800,c++
2,177800,c
1,177800,c#
1,177800,objective-c
1,177800,osx
1,177800,exception-handling
1,177800,multithreading
1,177800,jvm
31,26742,c#
18,26742,asp.net
10,26742,.net
6,26742,vb.net
4,26742,windows
3,26742,c++
2,26742,data-binding
2,26742,query-string
2,26742,javascript
2,26742,java
55,33226,c#
53,33226,.net
50,33226,asp.net
15,33226,javascript
14,33226,vb.net
9,33226,sql
9,33226,html
9,33226,css
8,33226,algorithm
7,33226,sql-server
49,86837,objective-c
19,86837,linux
15,86837,osx
13,86837,mysql
8,86837,sql
7,86837,python
6,86837,java
6,86837,javascript
6,86837,c
5,86837,c++
7,121445,.net
2,121445,sql-server
2,121445,c#
1,121445,asp.net
1,121445,sql
1,121445,nhibernate
1,121445,vb.net
1,121445,css
1,121445,exception-handling
7,161424,c++
3,161424,c#
2,161424,windows
1,161424,database-design
1,161424,recursion
1,161424,c
1,161424,database
1,161424,javascript
1,161424,html
1,161424,.net
3,112871,mysql
3,112871,sql
1,112871,tsql
1,112871,sql-server
1,112871,optimization
1,112871,php
1,112871,database
1,112871,database-design
2,170231,jquery
1,113158,java
3,119159,assembly
2,119159,java
1,119159,javascript
1,119159,logging
1,119159,linux
1,119159,jboss
1,119159,wordpress
1,119159,php
16,238704,java
3,238704,c
3,238704,python
2,238704,php
2,238704,c++
1,238704,javascript
1,238704,.net
1,238704,java-me
1,238704,jboss
1,238704,java-ee
9,112222,java
8,112222,javascript
8,112222,jquery
5,112222,jsp
3,112222,spring
2,112222,sql
1,112222,frameworks
1,112222,jquery-plugins
1,112222,tomcat
1,112222,ajax
4,124946,python
3,124946,html
2,124946,css
2,124946,php
1,124946,javascript
1,124946,django-models
1,124946,java
83,3241,sql-server
61,3241,sql
23,3241,tsql
13,3241,sql-server-2005
12,3241,database
6,3241,mysql
4,3241,.net
3,3241,optimization
3,3241,database-design
2,3241,java
7,39622,c++
5,39622,java
2,39622,optimization
1,39622,python
1,39622,logging
1,39622,linux
1,39622,javabeans
1,39622,multithreading
1,39622,eclipse
1,39622,java-me
12,41718,python
2,41718,algorithm
2,25282,python
1,25282,open-source
1,25282,r
1,25282,jquery
1,25282,python-3.x
1,25282,algorithm
1,25282,javascript
1,6349,open-source
1,6349,css
1,6349,algorithm
1,6349,osx
1,6349,database
1,6349,windows
1,6349,eclipse
7,20487,c++
4,20487,javascript
2,20487,project-management
2,20487,linux
2,20487,jquery
2,20487,ajax
1,20487,html
1,20487,algorithm
1,20487,logging
1,20487,windows
1,2517,java
1,2517,exception-handling
2,40914,c#
1,40914,sql-server-2005
1,40914,sql
1,40914,asp.net-mvc
1,40914,zend-framework
1,40914,jquery
1,40914,.net
1,40914,php
1,40914,database
1,40914,linq-to-sql
4,64860,drupal
1,64860,mysql
1,64860,php
160,45433,javascript
74,45433,jquery
23,45433,html
19,45433,asp.net
16,45433,ajax
13,45433,javascript-events
9,45433,php
7,45433,css
5,45433,c#
5,45433,python
4,5113,c
3,5113,c++
1,5113,database
1,5113,windows
1,5113,java
1,5113,python
1,5113,.net
1,5113,c#
24,1569,c#
14,1569,windows
13,1569,.net
4,1569,php
3,1569,vb.net
3,1569,windows-vista
1,1569,exception-handling
1,1569,java
1,1569,html
1,1569,c++
2,54929,java
1,54929,php
1,54929,jar
1,54929,python
26,19468,javascript
3,19468,php
3,19468,css
2,19468,ajax
2,19468,html
2,19468,.net
1,19468,asp.net
1,19468,functional-programming
1,19468,jvm
1,19468,python
23,2567,php
15,2567,mysql
15,2567,python
13,2567,java
11,2567,database
11,2567,linux
10,2567,c
9,2567,postgresql
7,2567,c++
7,2567,c#
68,67132,c++
48,67132,windows
47,67132,c#
25,67132,c
22,67132,.net
20,67132,multithreading
11,67132,assembly
11,67132,windows-vista
9,67132,optimization
8,67132,visual-c++
5,66445,c++
4,66445,html
4,66445,javascript
3,66445,linux
2,66445,css
2,66445,php
2,66445,mysql
2,66445,database
2,66445,c
1,66445,api
14,216074,php
4,216074,python
3,216074,css
3,216074,html
3,216074,mysql
2,216074,linux
1,216074,api
1,216074,javascript
1,216074,filesystems
4,2942,asp.net
4,2942,.net
3,2942,c#
2,2942,sql-server
2,2942,asp.net-mvc
2,2942,linq-to-sql
1,2942,database
1,2942,cross-platform
1,2942,sql-server-2005
1,2942,data-structures
4,162796,java
1,162796,optimization
1,162796,data-structures
1,162796,database
1,162796,sql
1,162796,mysql
1,162796,html
18,146270,.net
13,146270,c#
10,146270,asp.net
8,146270,sql-server
4,146270,sql
3,146270,tsql
2,146270,osx
2,146270,windows
2,146270,vb.net
1,146270,entity-framework
30,14122,python
7,14122,linux
6,14122,java
3,14122,postgresql
2,14122,database
2,14122,c#
2,14122,osx
2,14122,windows
